match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186904,Ecuador,False,52,95.93,1.01,1.0,12,3,99,5,13,492,21,10,1.0,,1,3,8,3,5,7,,2.0,16,2.0,,419,14,56,72,11,4,43,7,33,11,3,15,13,51,18,2.0,,0.2166,,0.0,0.0,11,1.0,
15186951,Sweden,True,49,84.65,1.33,4.0,13,1,85,4,10,356,14,8,0.0,,7,0,3,3,9,4,2.0,,22,1.0,3.0,278,18,47,69,22,3,45,14,26,15,5,9,6,41,23,0.0,0.0,-0.6527,0.0,1.0,,6,2.0,
15186951,Tunisia,False,51,78.56,0.28,0.0,6,1,68,2,8,371,21,10,1.0,,2,0,3,1,2,4,0.0,,10,3.0,6.0,292,17,63,66,24,3,55,5,36,15,7,12,6,40,13,2.0,4.0,-2.8834,1.0,1.0,,10,0.0,
15186783,Spain,True,74,103.14,2.1,2.0,27,1,84,11,10,800,13,1,1.0,,7,1,12,8,16,11,,3.0,51,,2.0,734,18,84,388,24,6,50,12,21,19,7,12,6,55,7,0.0,,0.1334,0.0,0.0,,5,2.0,
15186783,Cabo Verde,False,26,106.06,0.2,1.0,6,7,79,1,1,278,18,10,1.0,,1,0,3,2,2,4,,0.0,6,,3.0,205,14,26,16,19,1,50,6,31,9,4,11,15,49,46,3.0,,1.4527,2.0,3.0,,14,1.0,
15186837,Belgium,True,54,100.04,1.35,2.0,15,2,106,2,15,455,17,15,2.0,,3,1,7,5,9,6,,,31,4.0,0.0,391,28,82,151,18,6,50,15,44,14,12,11,10,48,25,2.0,,-0.3919,1.0,1.0,0.0,1,2.0,
15186837,Egypt,False,46,97.83,1.08,2.0,14,3,105,7,15,398,28,15,2.0,,3,0,4,7,10,4,,,27,0.0,1.0,323,19,37,62,20,2,50,10,50,9,8,17,16,46,17,0.0,,-0.36,1.0,1.0,1.0,12,2.0,
15186811,Saudi Arabia,True,33,100.64,0.66,1.0,7,9,76,4,11,322,11,6,1.0,,3,0,3,1,4,3,1.0,,10,1.0,0.0,236,18,29,39,10,3,49,1,18,22,3,8,9,39,43,,1.0,0.6821,4.0,,2.0,10,0.0,
15186811,Uruguay,False,67,100.56,1.72,2.0,27,2,87,14,6,612,3,11,0.0,,10,1,10,7,16,11,1.0,,41,3.0,6.0,540,20,65,169,24,16,51,7,22,20,8,2,10,52,17,,1.0,-0.3524,1.0,,1.0,3,1.0,
15186832,Iran,True,49,103.32,1.5,2.0,17,6,86,4,10,409,17,8,1.0,,4,1,8,5,10,7,2.0,,25,0.0,2.0,314,25,54,67,27,6,56,6,29,25,4,10,11,51,27,1.0,,-0.9954,1.0,,,4,,
15186832,New Zealand,False,51,103.6,1.24,2.0,14,2,87,1,8,446,13,10,0.0,,8,0,4,2,10,4,2.0,,21,1.0,0.0,376,16,47,73,21,1,44,11,28,15,6,10,15,47,26,1.0,,-0.282,0.0,,,11,,
15186501,France,True,53,108.63,1.79,4.0,11,2,161,6,5,575,19,9,,,8,0,1,2,7,4,2.0,5.0,19,3.0,1.0,505,9,60,93,20,0,56,4,32,12,5,14,7,56,14,1.0,,-0.8322,,0.0,,7,2.0,
15186501,Senegal,False,47,108.49,0.53,2.0,6,5,134,4,9,502,14,5,,,2,1,3,1,4,2,0.0,0.0,13,0.0,3.0,430,21,57,69,25,1,44,13,27,8,8,10,8,56,17,1.0,,-0.9403,,1.0,,4,2.0,
